date,net_liq,returns,cumulative_returns
2023-10-20,100000000.0,,
2023-10-21,100511682.59,0.005116825900000066,1.0051168259
2023-10-23,100814554.13,0.003013296884457173,1.0081455413
2023-10-24,100744030.64,-0.0006995367941523556,1.0074403064
