date,net_liq,port_daily_returns,port_cumulative_returns,QQQ_cr,IWM_cr,DIA_cr,SPY_cr
2023-10-20,100000000.0,,,,,,
2023-10-21,100511682.59,0.005116825900000066,1.0051168259,,,,
2023-10-23,100814554.13,0.003013296884457173,1.0081455413,1.0030175050925025,0.9915284568527584,0.9943537090389124,0.998266789377486
2023-10-24,100744030.64,-0.0006995367941523556,1.0074403064,1.0127749540364488,1.0001802377965443,1.0007548537037867,1.0057931157607323
2023-10-25,100845574.08,0.0010079350543641397,1.0084557408,0.9879864362879299,0.9836577674789407,0.9974637026127042,0.9913577847827859
2023-10-26,101888954.58,0.010346319206555377,1.0188895458,0.969148329799485,0.9861811883079761,0.9898245868161926,0.9794866578067947
2023-10-27,102499025.74,0.005987608396953226,1.0249902574,0.9738014427946458,0.9745854622356895,0.9788640962939742,0.9750468679106713
2023-10-30,102598970.75,0.0009750825364285287,1.0259897075000002,0.9847715910785741,0.9799927794868486,0.9940819727629764,0.9867043232957677
2023-10-31,102211665.56,-0.0037749422549641087,1.0221166556,0.9894810746696961,0.9884643226340902,0.9978562412819095,0.9929010892541519
2023-11-01,102119289.36,-0.0009037735516185252,1.0211928936,1.0066553449265128,0.9941120180655846,1.0044988985880954,1.0034901142291655
2023-11-02,100779221.48,-0.013122573496138101,1.0077922148000003,1.0249294872694108,1.0206079826091614,1.021739823527146,1.0227213544213931
2023-11-03,100561818.8,-0.0021572172994326344,1.0056181880000001,1.0369711932484722,1.0483657950833771,1.0284428359573528,1.032052042835176
2023-11-04,100561818.8,0.0,1.0056181880000001,,,,
2023-11-05,100561818.8,0.0,1.0056181880000001,,,,
2023-11-06,100798671.9,0.0023552984902854845,1.0079867190000003,1.0412013116189782,1.0352679345775304,1.0297412543582387,1.0344262682303744
